Date;CSP;Size;Solver;Variable Heuristic;Value Heuristic;Solutions;Duration time;Number of backs;Number of checked values;Time of First solution;Number of backs to first solution;Number of checked values to firs solution
2022-04-09T10:06:25.096420;BinaryCSP;10;ForwardChecking;MRV DYNAMIC;MPV DYNAMIC;1;73;1;77;73;1;77
2022-04-09T10:06:25.168039;BinaryCSP;10;ForwardChecking;MRV_MCV DYNAMIC;MPV DYNAMIC;1;71;1;82;71;1;82
2022-04-09T10:06:25.170671;FutoshikiCSP;4;BacktrackingSearch;brak;brak;1;2;648;864;1;193;265
2022-04-09T10:06:25.171816;FutoshikiCSP;4;BacktrackingSearch;MCV STATIC;brak;1;0;984;1312;0;94;133
2022-04-09T10:06:25.172783;FutoshikiCSP;4;BacktrackingSearch;MRV STATIC;brak;1;0;648;864;0;193;265
2022-04-09T10:06:25.173912;FutoshikiCSP;4;BacktrackingSearch;MRV_MCV STATIC;brak;1;1;984;1312;0;94;133
2022-04-09T10:06:25.191798;FutoshikiCSP;4;BacktrackingSearch;MCV STATIC;LCV DYNAMIC;1;17;984;1312;16;879;1177
2022-04-09T10:06:25.199491;FutoshikiCSP;4;BacktrackingSearch;MRV STATIC;LCV DYNAMIC;1;7;648;864;5;467;628
2022-04-09T10:06:25.212733;FutoshikiCSP;4;BacktrackingSearch;MRV_MCV STATIC;LCV DYNAMIC;1;12;984;1312;11;879;1177
2022-04-09T10:06:25.214349;FutoshikiCSP;4;BacktrackingSearch;MCV STATIC;MPV DYNAMIC;1;1;984;1312;0;94;133
2022-04-09T10:06:25.215472;FutoshikiCSP;4;BacktrackingSearch;MRV STATIC;MPV DYNAMIC;1;0;648;864;0;193;265
2022-04-09T10:06:25.216948;FutoshikiCSP;4;BacktrackingSearch;MRV_MCV STATIC;MPV DYNAMIC;1;1;984;1312;0;94;133
2022-04-09T10:06:25.218259;FutoshikiCSP;5;BacktrackingSearch;brak;brak;1;1;952;1190;0;228;296
2022-04-09T10:06:25.220342;FutoshikiCSP;5;BacktrackingSearch;MCV STATIC;brak;1;1;1556;1945;0;204;266
2022-04-09T10:06:25.221551;FutoshikiCSP;5;BacktrackingSearch;MRV STATIC;brak;1;1;952;1190;0;228;296
2022-04-09T10:06:25.223409;FutoshikiCSP;5;BacktrackingSearch;MRV_MCV STATIC;brak;1;1;1556;1945;0;204;266
2022-04-09T10:06:25.247525;FutoshikiCSP;5;BacktrackingSearch;MCV STATIC;LCV DYNAMIC;1;23;1556;1945;3;186;241
2022-04-09T10:06:25.262093;FutoshikiCSP;5;BacktrackingSearch;MRV STATIC;LCV DYNAMIC;1;14;952;1190;3;235;302
2022-04-09T10:06:25.284743;FutoshikiCSP;5;BacktrackingSearch;MRV_MCV STATIC;LCV DYNAMIC;1;22;1556;1945;3;186;241
2022-04-09T10:06:25.287494;FutoshikiCSP;5;BacktrackingSearch;MCV STATIC;MPV DYNAMIC;1;2;1556;1945;0;204;266
2022-04-09T10:06:25.289474;FutoshikiCSP;5;BacktrackingSearch;MRV STATIC;MPV DYNAMIC;1;1;952;1190;0;228;296
2022-04-09T10:06:25.292366;FutoshikiCSP;5;BacktrackingSearch;MRV_MCV STATIC;MPV DYNAMIC;1;2;1556;1945;0;204;266
2022-04-09T10:06:38.211690;FutoshikiCSP;6;BacktrackingSearch;brak;brak;133;12918;17364813;20837934;644;854305;1025184
2022-04-09T10:06:40.954314;FutoshikiCSP;6;BacktrackingSearch;MCV STATIC;brak;133;2742;3623203;4348002;638;1063080;1275714
2022-04-09T10:06:54.478831;FutoshikiCSP;6;BacktrackingSearch;MRV STATIC;brak;133;13523;17364813;20837934;667;854305;1025184
2022-04-09T10:06:57.179658;FutoshikiCSP;6;BacktrackingSearch;MRV_MCV STATIC;brak;133;2700;3623203;4348002;652;1063080;1275714
2022-04-09T10:07:53.447264;FutoshikiCSP;6;BacktrackingSearch;MCV STATIC;LCV DYNAMIC;133;56265;3623203;4348002;19767;1073055;1287683
2022-04-09T10:11:48.413120;FutoshikiCSP;6;BacktrackingSearch;MRV STATIC;LCV DYNAMIC;133;234948;17364813;20837934;12346;936272;1123542
2022-04-09T10:12:44.325703;FutoshikiCSP;6;BacktrackingSearch;MRV_MCV STATIC;LCV DYNAMIC;133;55909;3623203;4348002;19777;1073055;1287683
2022-04-09T10:12:49.749136;FutoshikiCSP;6;BacktrackingSearch;MCV STATIC;MPV DYNAMIC;133;5421;3623203;4348002;1445;1063080;1275714
2022-04-09T10:13:15.564430;FutoshikiCSP;6;BacktrackingSearch;MRV STATIC;MPV DYNAMIC;133;25813;17364813;20837934;1255;854305;1025184
2022-04-09T10:13:20.959880;FutoshikiCSP;6;BacktrackingSearch;MRV_MCV STATIC;MPV DYNAMIC;133;5394;3623203;4348002;1434;1063080;1275714
2022-04-09T10:13:20.962913;FutoshikiCSP;4;ForwardChecking;brak;brak;1;2;41;142;2;13;51
2022-04-09T10:13:20.963977;FutoshikiCSP;4;ForwardChecking;MCV DYNAMIC;brak;1;0;53;146;0;8;32
2022-04-09T10:13:20.964658;FutoshikiCSP;4;ForwardChecking;MRV DYNAMIC;brak;1;0;15;73;0;8;45
2022-04-09T10:13:20.965113;FutoshikiCSP;4;ForwardChecking;MRV_MCV DYNAMIC;brak;1;0;8;42;0;2;23
2022-04-09T10:13:20.968137;FutoshikiCSP;4;ForwardChecking;MCV DYNAMIC;LCV DYNAMIC;1;2;53;146;2;49;139
2022-04-09T10:13:20.969341;FutoshikiCSP;4;ForwardChecking;MRV DYNAMIC;LCV DYNAMIC;1;1;15;73;0;8;45
